DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1021/acschemneuro.8b00365,Homo sapiens,U87MG Glioblastom Cells,Induced Neurons,13,"Forskolin,47936;ISX9,19582717;CHIR99021,9956119;I-BET151,52912189;DAPT,5311272","Neuronal induction medium: Brainphys, 1% N-2, and 1% B-27 and the following small molecules: 10 μM Forskolin, 10 μM ISX9, 3 μM CHIR99021, 2 μM I-BET151, and 5 μM DAPT.",_,"U87MG glioblastoma cells were obtained from the American Type Culture Collection (U.S.A). Cells were maintained in Astrocyte Media (ScienCell) with media being was changed every 3-4 days. Upon reaching >90% confluence, cells were passaged onto an experimental plate at a rate of approximately 3.3 x 10 4 cells/cm 2 .",CAMP agonist;Neurogenic Modulator;Inhibitor of GSK3β;Inhibitor of the BET family;Inhibitor of γ-secretase,_,Direct Reprogramming of Glioblastoma Cells into Neurons Using Small Molecules,_,71.4,Percent of TUJ1 positive cells,1,_,Stephanie M;Meghan Robinson;Christopher Lee,_
10.1161/CIRCULATIONAHA.116.024692,Mus musculus,Fibroblasts,Induced Cardiomyocytes,28,"SB431542,4521392;XAV939,135418940",Explant medium: IMDM/20% FBS.,_,"Mouse cardiac fibroblasts were isolated from P0-P4 α-myosin heavy chain–green fluorescent protein (α-MHC–GFP) transgenic neonates with the migration method. Heart tissue was isolated, minced, and cultured on gelatin-coated plates in fibroblast explant media (20% FBS in Iscove modified Dulbecco medium) for 1 week at 37°C.",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of the WNT/β-catenin signaling,Gata4;Mef2c;Tbx5;ZFPM2,Chemical Enhancement of In Vitro and In Vivo Direct Cardiac Reprogramming,_,50,Percent of cells exhibited spontaneous calcium transients,2,_,Deepak Srivastava;Kathryn Ivey;Sheng Ding;Sergey Magnitsky;Shibing Tang;Haixia Wang;Pengzhi Yu;Yen-Sin Ang;Karishma Pratt;Yu Huang;Ethan Radzinsky;Emily Berry;Nicole Stone;Tamer Mohamed,_
10.1016/j.stemcr.2017.01.025,Mus musculus,Fibroblasts,Induced Cardiomyocytes,9,"DAPT,5311272","Cardiomyocyte induction medium: DMEM/ 199 (4:1), 10% FBS, 5% horse serum, 1% penicillin/streptomycin, 1% non-essential amino acids, 1% essential amino acids, 1%
B-27, 1% insulin-selenium-transferrin, 1% vitamin mixture, and 1% sodium pyruvate (Invitrogen).",_,"Wild-type, aMHC-GFP transgenic, or p27 knockout MEFs and wild-type TTFs were isolated as described by Nam et al. (doi: 10.1242/dev.114025), and cultured in DMEM containing 10% fetal bovine serum (FBS) and 1% penicillin/streptomycin",Inhibitor of γ-secretase,GATA4;HAND2;MEF2C;TBX5,Notch Inhibition Enhances Cardiac Reprogramming by Increasing MEF2C Transcriptional Activity,_,45,Percent of cells displaying spontaneous beating,2,_,Eric Olson;Rhonda Bassel;Beibei Chen;Maria Gabriela;Huanyu Zhou;Hisayuki Hashimoto;Maria Abad,_
10.1038/s41586-020-2201-4,Mus musculus,Fibroblasts,Induced Photoreceptor-like cells,15,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;IWR1,3137736;Taurine,1123;Retinoic acid,444795","IMR-90: MEM : 99 ml, NEAA: 1125 µlm, FBS: 11.25 ml, Pen/Strep: 1125 µl.
Photoreceptor induction medium (PIM): KO Serum: 5ml, B27:1ml, Noggin: 12.5µl, IGF1: 1.25 µl, Make volume upto 50 ml with DMEM/F12.
Photoreceptor differentiation medium (PDM): B27: 1ml, N2: 0.5ml, Noggin: 25 µl, IWR1: 50 µl, IGF1: 2.5 µl, bFGF 40 µl, Make volume upto 50 ml with DMEM F12. ",IGF1;bFGF,"Approximately 50,000–80,000 MEFs (passage 2) were seeded into each well of a 12-well plate (0.1% gelatin-coated overnight) and cultured overnight.",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of WNT pathway;_;Agonist of a retinoic acid receptor,_,,_,_,_,1,_,,
10.1038/cr.2010.142,Mus musculus,Fibroblasts,Induced Pluripotent Stem Cells,20,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Parnate,19493","mESC culture medium: 80% DMEM/F12 (Invitrogen), 10% knockout serum replacement (Invitrogen), 10% fetal bovine serum, 1 mM l -glutamine, 1% nones-sential amino acids, 0.1 mM β-mercaptoethanol (all from Invitro-gen) and 1 000 U/ml Lif (Millipore). iPS cells and mESCs were passaged by trypsin (Invitrogen). The medium was changed every day.",FGF,"Primary MEFs were derived from transgenic mice including ICR×OG, 129×OG and C57×OG. Adult skin fibroblasts were isolated from the lips and backs of 7-week-old transgenic mice
including ICR×OG, 129×OG and C57×OG. Fibroblasts and 293T cells were cultured in Dulbecco’s modified Eagle’s medium (DMEM; Hyclone) containing 10% fetal bovine serum (Invitro-
gen). mESC line R1 and iPS cells were maintained on Mitomycin C-treated MEFs in mESC culture medium consisting of 80% DMEM/F12 (Invitrogen), 10% knockout serum replacement (In-
vitrogen), 10% fetal bovine serum, 1 mM l -glutamine, 1% nones-sential amino acids, 0.1 mM β-mercaptoethanol (all from Invitro-gen) and 1 000 U/ml Lif (Millipore). iPS cells and mESCs were
passaged by trypsin (Invitrogen). The medium was changed every day.",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of lysine-specific demethylase 1 (LSD1),Oct4,"Generation of iPSCs from mouse fibroblasts with a single gene, Oct4, and small molecules",_,_,1-15 GFP+/iPS-like colonies (in 10 independent experiments) were generated from 5 × 10^4 OG-MEFs,2,_,Hongkui Deng;Yan Shi;Zhihua Song;Chen Wu;Kang Liu;Honggang Li;Yetao Wu;Xu Zhang;Weiqi Zhang;Chun Liu;Jian Ge;Pingping Hou;Yuanyuan Du;Weifeng Yang;Xiaolei Yin;Qiang Zhang;Yanqin Li,_
10.1038/srep01185,Rattus _,WB-F344 cells,Induced Pancreatic Beta Cells,17,"5-Aza-2'-deoxycytidine,451668;Trichostatin A,444732;Retinoic acid,444795","Basal medium: knockout-serum DMEM and the main components: 1 mM b-mercaptoethanol, 1% non-essential amino acids, 1% B27 supplement, 2 mM L-glutamine, 2% N 2 supplement (all from Invitrogen, California , USA), 20 ng/ml fibroblast growth factor (Peprotech, New Jersey, USA), 20 ng/ml epidermal growth factor (Peprotech, New Jersey, USA), 100 U/ml penicillin, and 100 mg/ml STZ (Sigma, Missouri, USA).

Induction medium: DMEM with low glucose (1 g/L; Sigma, Missouri, USA), 13ITS (Invitrogen, California, USA), 2 mM RA (Sigma, Missouri, USA), and the main components for 7 days. In the last step (maturation), the medium was modified from differentiation medium by adding 10 mM nicotinamide (Sigma, Missouri, USA) without fibroblast growth factor and epidermal growth factor.",FGB;EGF,"WB cells were maintained in Dulbecco’s modified Eagle’s medium (DMEM) supplemented with 10% fetal bovine serum (PAA, Dresden, Germany), 11.1 mmol/L (mM) D-glucose, 100 U/ml penicillin, and 100 mg/ml STZ (Sigma, Missouri, USA).",Inhibitor of DNA methylation;Inhibitor of the histone deacetylases I and II;Agonist of a retinoic acid receptor,_,Direct differentiation of hepatic stem-like WB cells into insulin-producing cells using small molecules,_,5,Pdx1-expressing cells,1,_,Weidong Han;Yiming Mu;Chunlin Li;Jun Shi;Jing Shen;Qingwang Han;Haojie Hao;Honggang Wang;Yanmei Liu;Jianping Liu,"Cells were maintained at 37uC in a
humidified atmosphere containing 5% CO 2 ."
10.1016/j.jhep.2018.09.007,Homo sapiens,Hepatocytes,Induced Hepatic Progenitors,15,"CHIR99021,9956119;A83-01,16218924;Dexamethasone,5743","Hepatocyte induction medium: basal medium supplemented with 20 ng/ml Oncostatin M (R&D Systems, MN, USA), 10 -7 M dexamethasone (Sigma) and 20 ng/ml HGF.
Cholangiocyte differentiation medium (CDM): DMEM/F12 medium containing 10% FBS and 20 ng/mL HGF.",EGF;HGF,"Human liver tissues were obtained from six donors operated on in Hanyang University Medical Center. Hepatocytes were isolated using a modified two-step collagenase perfusion technique. Hepatocytes were seeded on collagen-coated dishes (STEMCELL Technologies, BC, Canada) at 5000 cells/cm 2 in basic High Glucose DMEM/F-12 media (Gibco, CA, USA) containing 1% FBS (Gibco), 10 mM nicotinamide, 0.1 μM dexamethasone (Sigma-Aldrich), 1% insulin-transferrin-selenium (ITS) (Gibco), 1% penicillin/streptomycin (Gibco), and 20 ng/ml epidermal growth factor (EGF).","Inhibitor of GSK3β;Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Activator of glucocorticoid pathway",_,Small molecule-mediated reprogramming of human hepatocytes into bipotent progenitor cells,_,_,_,1,_,Dongho Choi;Jaemin Jeong;Valentina Factor;Kyeong Geun;Yun Kyung;Kiseok Jang;Sung Joo;Heung Mo;Sangtae Yoon;Daekwan Seo;Seung Bum;Kyojin Kang;Yohan Kim,_
10.1016/j.stem.2015.07.006,Homo sapiens,Fibroblasts,Induced Neurons,28,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;SP600125,8515;GO6983,3499;Y-27632,448042;Dorsomorphin,11524144","Fibroblast medium: DMEM (Life Technologies, C11965) supplemented with 10% fetal bovine serum (Ausbian, VS500T), 1mM GlutaMAX (Life Technologies, 35050-061), 0.1 mM non-essential amino acid (NEAA, Millipore, TMS-001-C) and penicillin/streptomycin.
Neuronal induction medium: (DMEM/F12, Life Technologies, 11330-032): (Neurobasal, Life Technologies, 21103-049) (1:1), 0.5% N-2 (Invitrogen, 17502048), 1% B-27 (Invitrogen, 17504044), 100 μM cAMP and 20 ng/ml bFGF and penicillin/streptomycin.
Neuronal maturation medium: DMEM/F12: Neurobasal (1:1), 0.5% N-2, 1% B-27, 100 μM cAMP, 20 ng/ml bFGF, 20 ng/ml BDNF, 20 ng/ml GDNF, 20 ng/ml NT3 and penicillin/streptomycin. Neuron medium: DMEM/F12: Neurobasal (1:1), 0.5% N-2, 1% B-27, 20 ng/ml BDNF, 20 ng/ml GDNF, 20 ng/ml NT3 and penicillin/streptomycin.",BDNF;GDNF;bFGF,"Initial fibroblasts were seeded onto gelatin-coated culture plates (10,000-15,000 cells/well in 24-well plates) and cultured in fibroblast medium for1 day. ","Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of JNK;Inhibitor of protein kinase C;Inhibitor of ROCK1 and ROCK2;Inhibitor of ALK2, ALK6	 and AMPK",_,Direct Conversion of Normal and Alzheimer's Disease Human Fibroblasts Into Neuronal Cells by Small Molecules,_,5,Percent of Tuj1-positive cells,1,_,Gang Pei;Jian Zhao;Yongchun Yu;Beisha Tang;Ying Jin;Hanzhi Zhao;Gangcai Xie;Yin Huang;Lu Shen;Longfei Gao;Wei Li;Min Wang;Qinying Wang;Wuqiang Guan;Binlong Qiu;Wenxiang Hu,_
10.1038/nbt1418,Mus musculus,Fibroblasts,Induced Pluripotent Stem Cells,21,"Valproic Acid,3121;Dexamethasone,5743","Mouse ES cell media: Knockout DMEM supplemented with 15% Hyclone FBS, Lglutamine, penicillin/streptomycin, nonessential amino acids, β-mercaptoethanol,
and with 1000 U/ml LIF.",_,"MEFs were derived from e13.5 embryos hemizygous for the Oct4-GFP transgenic allele. Embryos were sexed by inspecting gonads for the pattern of Oct4-GFP expression. Gonads and internal organs were removed before processing the embryos for MEF isolation. To generate iPS cells that can be identified in mouse chimeras after blastocyst injection, we derived MEFs from e13.5 embryos that are hemizygous for Oct4-GFP and heterozygous for the Rosa26-lacZ reporter allele. MEFs were grown in DMEM supplemented with 10% FBS, L-glutamine, penicillin/streptomycin, nonessential amino acids, and sodium pyruvate. MEFs in early passages (up to passage 5) were used for generation of iPS cells. Oct4-GFP and Rosa26-lacZ mice were both obtained from the Jackson Laboratory.",Inhibitor of histone deacetylase;Activator of glucocorticoid pathway,Oct4;Sox2;Klf4;c-Myc,Induction of pluripotent stem cells by defined factors is greatly improved by small-molecule compounds,_,11.8,Percent of cells with ES cell morphology and expressed Oct4-GFP,2,_,Douglas Melton;Alice Chen;Melinda Snitow;Astrid Eijkelenboom;Wenjun Guo;Rene Maehr;Danwei Huangfu,_
10.1038/cr.2015.142,Mus musculus,Fibroblasts;Neural stem cells;Intestinal Epithelial Cells,Induced Pluripotent Stem Cells,52,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Parnate,19493;Forskolin,47936;EPZ004777,56962336;Ch 55,6184667;AM580,2126",,bFGF;EGF,"MEFs were cultured in high glucose Dulbecco’s modified Eagle medium (DMEM, Hyclone). 

Fetal NSCs were isolated from mouse forebrain at embryonic day 13.5 as previously described, and postnatal NSCs were isolated from the subventricular zone of the postnatal mouse brain. NSCs were cultured in NSC culture medium (DMEM/F-12 (1:1), DF12) containing N2 and B27 supplements, 1% non-essential amino acids (NEAA), 2 mM GlutaMAX, 10 U PS, 55 μM β-mercaptoethanol (β-me) (all from Invitrogen), 25 ng/ml basic fibroblast growth factor (bFGF, Origene), and 20 ng/ml epidermal growth factor (EGF, R&D), and passaged by accutase (Millipore) every 4-5 days. Single-cell suspension of NSCs were allowed to form neurospheres for 2-3 days. 

Fetal small intestinal epithelial cells were isolated from mouse embryonic small intestine at embryonic 13.5 day as previously described, and cultured in DMEM/F-12 (1:1) (Invitrogen) containing N2 and B27 supplements, 10% knockout serum re-placement (KSR, Invitrogene), 1% NEAA, 2 mM GlutaMAX-I (GlutaMAX), 10 U penicillin-streptomycin (PS), 55 μM β-me, 25 ng/ml Wnt3a (R&D), 20 ng/ml EGF, and 20 ng/ml Noggin (AC-ROBiosystems).",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of lysine-specific demethylase 1 (LSD1);CAMP agonist;Inhibitor of H3K79 histone methyltransferase DOT1L;Agonist of retinoid acid receptor (RAR);Agonist of the retinoic acid receptor,_,Pluripotent stem cells induced from mouse neural stem cells and small intestinal epithelial cells by small molecule compounds,GSE75522,_,"Sox17,Gata6,Sall4Dppa2 expression + morphology",2,_,Hongkui Deng;Yang Zhao;Junfang Liu;Weifeng Yang;Hua Lin;Yuping Wang;Shan He;Zhengyuan Zhang;Lin Cheng;Xu Zhang;Jian Ge;Junqing Ye,_
10.1126/science.1239278,Mus musculus,Fibroblasts;Adipose-derived stem cells,Induced Pluripotent Stem Cells,36,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Parnate,19493;Forskolin,47936;DZNep,73087","ESC culture medium: 10% knockout serum replacement, 10% fetal bovine serum, 2 mM GlutaMAXTM-I, 1% nonessential amino acids, 0.1 mM 2-mercaptoethanol, 1% penicillin-streptomycin and 1,000 U/ml leukemia inhibitory factor.
2i-medium: ESC culture medium supplemented with 2i (3 μM CHIR99021 and 1 μM PD0325901))",_,"MEFs, MNFs, MAFs and ADSCs were cultured in DMEM/High Glucose (Hyclone) containing 10% fetal bovine serum (Hyclone). The cells used in reprogramming were from passage 1 to 5. ",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of lysine-specific demethylase 1 (LSD1);CAMP agonist;Inhibitot of histone EZH2 lysine methyltransferase,_,Pluripotent Stem Cells Induced from Mouse Somatic Cells by Small-Molecule Compounds,GSE48243,0.2,_,1,_,Hongkui Deng;Yang Zhao;Qiang Zhang;Jun Xu;Jian Ge;Kang Liu;Weifeng Yang;Junqing Ye;Ting Zhao;Honggang Li;Jingyang Guan;Chun Liu;Xu Zhang;Yanqin Li,_
10.1016/j.stem.2009.09.012,Mus musculus,Induced Pluripotent Stem Cells,Induced Pluripotent Stem Cells,22,"SB431542,4521392;Valproic Acid,3121;RepSox,449054;EI 275,1400","Mouse ESC media: Knockout DMEM,15% Hyclone FBS, L-glutamine, penicillin/strepto-mycin, nonessential amino acids,b-mercaptoethanol, and 1000 U/ml LIF.",_,"MEFs were infected with two to three poolsof viral supernatant during a 72 hr period. On day 4 postinfection, infected MEFs were trypsinized and reseeded on irra-diated feeders in 96-well plates at 2000 cells/well",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of histone deacetylase;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of Src-family kinase,_,A Small-Molecule Inhibitor of Tgf-β Signaling Replaces Sox2 in Reprogramming by Inducing Nanog,_,2,Percent of Oct4::GFP+ colonies,2,_,Kevin Eggan;Lee Rubin;David Liu;Hidenori Akutsu;Danwei Huangfu;Kathryn Koszka;Francesco Giorgio;Ava Carter;Kyle Loh;Dieter Egli;Julia Chung;Esther Son;Kelvin Lam;Joel Blanchard;Justin Ichida,_
10.1016/j.stemcr.2013.12.014,Homo sapiens,Induced Pluripotent Stem Cells,Induced Corneal Epithelial Progenitor Cells,44,"SB-505124,9858940;IWP-2,_","Commercial CnT-30 corneal epithelium medium.
RegES- medium (10.1371/journal.pone.0010246).",FGF2;bFGF,"To initiate corneal epithelial differentiation of hiPSCs, undifferentiated colonies were manually dissected and transferred to suspension culture in 6-well plates (Corning Ultra-Low Attachment; Corning Life Sciences). Cells were cultured as three-dimensional cell aggregates for 4 days, changing the culture medium daily",Inhibitor of TGF-b;Inhibitor of Wnt,_,Small-Molecule Induction Promotes Corneal Epithelial Cell Differentiation from Human Induced Pluripotent Stem Cells,_,60,Percent of p63 positive cells,1,_,Heli Skottman;Hannu Uusitalo;Tanja Ilmarinen;Alexandra Mikhailova,_
10.1016/j.stemcr.2020.01.013,Mus musculus,Fibroblasts,Induced Fibrocartilaginous cells,33,"Valproic Acid,3121;CHIR98014,53396311;RepSox,449054;TTNPB,5289501;Celecoxib,2662","The chemical conditional medium: composed of KnockOut Serum Replacer (KSR) medium (Life Technologies), 15% knockout serum replacement, 1% nonessential amino acid (Invitrogen), 1% GlutaMax
(Gibico), 1% sodium pyruvate (Gibico), 0.1 mM b-mercaptoethanol (Millipore), and 1,000 U/mL leukemia inhibitory factor (PeproTech).

Chondrogenic differentiation medium: H-DMEM supplemented with 107 M dexamethasone [Sigma], 50 mg/mL 2-phospho-L-ascorbic acid [Sigma], 1 mM sodium pyruvate [Gibico], 1% ITS + premix
[Gibico], and 10 ng/mL TGF-b3 [PeproTech].",_,"Expanded MEFs that had been cultured in H-DMEM for 48 h
(confluency 90%).",Inhibitor of histone deacetylase;Inhibitor of GSK-3 kinases;Inhibitor of the ALK5 (TGF-β type 1 receptor);Agonist of a retinoic acid receptor;Inhibitor of cyclooxygenase [COX] 2,_,High-Resolution Dissection of Chemical Reprogramming from Mouse Embryonic Fibroblasts into Fibrocartilaginous Cells,GSE118236,_,_,1,_,Hongwei Ouyang;Junfeng Ji;Ahmed El-Hashash;Varitsara Bunpetch;Jing Zhou;Shufang Zhang;Xianzhu Zhang;Heng Sun;Shouan Zhu;Qikai Li;Xiaoan Zhang;Chengrui An;Yeke Yu;Zixuan Sheng;Xiaotian Du;Dongsheng Yu;Junxin Lin;Bingbing Wu;Yishan Chen,_
10.1038/s41598-020-63992-8,Mus musculus,Fibroblasts,Induced Cardiomyocytes,29,"PTC-209,1117196;CHIR99021,9956119;RepSox,449054;Forskolin,47936;Valproic Acid,3121;Tranylcypromine,19493;TTNPB,5289501;PD0325901,9826528","Cardiac Reprogramming Medium (CRM): composed of knockout DMEM (Gibco), 15% FBS, and 5% KSR (Gibco), 0.5% N2 (Gibco), 2% B27 (Gibco), 1% Glutamax, 1% NEAA, 0.1 mM β-mercaptoethanol (Gibco), 50 μg/ml 2-phospho-L-ascorbic acid (Vitamin C, Sigma), 100 units/ml penicillin and 100 μg/ml streptomycin.

Cardiomyocyte Maintaining Medium (CMM): DMEM medium with 15% FBS, 2i (3 μM CHIR99021 and 1 μM PD0325901, Sigma), 1 000 units/ml LIF, 50 μg/ml Vitamin C, and 1 μg/ml insulin.",_,"MEFs were isolated from embryonic day 13.5 (E13.5) C57BL/6 mouse embryos. The head, limbs, and internal organs were carefully removed from embryos, and then the rest tissues were washed in PBS, minced
and digested with 0.05% Trypsin-EDTA into single-cell suspensions. Cells were resuspended in fibroblasts medium, consisting of DMEM (Gibco), 15% FBS (Hyclone), 2 mM Glutamax (Gibco), 0.1 mM non-essential amino acids (NEAA; Gibco), 100 units/ml penicillin and 100 μg/ml streptomycin (Gibco), and plated onto one 10 cm dish per embryo. Cells were passaged at the ratio of 1:3 (passage 1). Passage 3 MEFs were used for reprogramming.",Inhibitor of Bmi1;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of histone deacetylase;Inhibitor of lysine-specific demethylase 1 (LSD1);Agonist of a retinoic acid receptor;Inhibitor of MEK/ERK pathway,_,"CRM, composed of knockout DMEM (Gibco), 15% FBS, and 5% KSR (Gibco), 0.5% N2 (Gibco), 2% B27 (Gibco), 1% Glutamax, 1% NEAA, 0.1 mM β-mercaptoethanol (Gibco), 50 μg/ml 2-phospho-L-ascorbic acid (Vitamin C, Sigma), 100 units/ml penicillin and 100 μg/ml streptomycin, plus CRFVPT cocktails (10 μM CHIR99021 (C, Sigma); 10 μM RepSox (R, Selleckchem); 50 μM Forskolin (F, Selleckchem); 0.5 mM Valproic Acid (V, Sigma); 5 μM Parnate, (P, Selleckchem); 1 μM TTNPB (T, Selleckchem).",_,43,Percent of muscle α- myosin heavy chain (α -MHC) positive cells (α-MHC+).,1,_,Fabiana Passaro;Tommaso Russo;Domenico Bonaduce;Pasquale Abete;Carlo Tocchetti;Flora Pirozzi;Silvia Parisi;Matteo Barbato;Giorgia Benedetto;Michele Russo;Gianluca Testa,_
